review,sentiment,label,predicted_label,predicted_sentiment,negative_probability,positive_probability,confidence,correct
"I saw this film in its entirety in the 1960s & 70s, yes it IS gruesome, and could be the progenitor of the ""Faces of Death"" series popular in the 80s & 90s. Considering the state of so-called ""driver education"" these days, this one should be required viewing for everyone preparing to learn to drive. When you see violent death in all its gore & horror, you certainly (if you have any sensibility at all) get a truer perspective on the responsibilities required to drive safely, what one instant of thoughtlessness or inattentiveness at the wheel can do. I worked for Bell Telephone in the 70s & 80s, and at one point was assigned to conduct a safety class. I found this film in the company library, showed it at the session, a number of people got physically sick and had to leave the room! Incredibly, most of them later said ""I never knew a car accident could be so terrible!"" This film, and another, ""RED ASPHALT"", is certainly reality in its most graphic form. I'll never forget it, I only wish I could have found a copy when my children were attending ""driver's ed"" in high school!",negative,0,1,positive,0.0063143647,0.99368566,0.99368566,False
"Style over substance. But what a style it is. ""The Cell"" is the internal version of most serial killer movies. Unfortunately, the story hardly supports the visuals.<br /><br />Psychotherapist Catherine Deane (J-Lo) goes into her patients' dreams via artificial means to discover and help them over come their phobias and obsessions. A new patient whose fallen into a coma, is brought to her attention by the FBI. He's a serial killer who drowns his female victims then poses their bodies in grotesque scenarios like mannequins. Deane must enter the killer's mind and navigate through his sick fantasies in order to find and save his latest victim. <br /><br />Director Tarsem Singh has incredible visions and set pieces for this production. Each dream sequence is like a nightmare-ish painting in motion, from the landscapes to the costumes. <br /><br />But the plot suffers from lack of history of its characters. Stargher is the only person with a thorough background and he's the last person you want to care about. Without him, you basically have a movie that moves in the present tense only, which is a shame since the movie is so visually stunning and genuinely scary. Lopez is wasted but she's not that amazing an actress anyway, though she's as gorgeous as ever. And Vince Vaughn? I don't even know why he was chosen. This is not his forte and he overacts to boot. He tried too hard to become his character and it showed. Stick to comedy, Vince! Even so, this movie is so visually frightening, I still watch this movie with the lights on and can never fall asleep right away afterward.",positive,1,0,negative,0.9935993,0.00640073,0.9935993,False
"""The Crush"" is a pleasant enough 40-something friends romantic chick flick for the first two-thirds or so, as it tries to be a Brit ""Sex and the City"". <br /><br />I particularly enjoyed the turn-around of the trophy young hunk whose character is not much fleshed out (come to think of it we didn't see all that much physical flesh of him either and Kenny Doughty is worth seeing more of). <br /><br />They sure make a lot more deal of young man/older woman than was made of the opposite in either version of ""Sabrina"" (neither movie do I like) or for that matter with the Douglas/Zeta-Jones or Dion/Svengali nuptials.<br /><br />Surrounding Andie MacDowell as an ex pat otherwise are welcome familiars from Brit dramas and comedies, such as tart-tongued Anna Chancellor. <br /><br />The plot twists towards the end feel very deus ex machina. But it wasn't until the credits came up at the end that I realized what might really be wrong. Just as with ""Sex and the City,"" the writer/director is male, here first-timer Scot John McKay, and I think he really wanted to do a script about three gay men, probably about them coming out in relation to their lovers and at work (the characters are a school principal, a cop and a doctor), which would have been a better and more interesting movie. The working title for the film was ""The Sad F*cker's Club"" which would have made its parallels with the gay ""Broken Hearts Club"" even more obvious.<br /><br />(originally written 4/6/2002)",negative,0,1,positive,0.006450608,0.9935494,0.9935494,False
"I've bought, "" The Feast of All Saints,"" and it's not truly a horrible movie, but a lot of things could have been better. It had a lot of historical value, played out by very talented actress/actors, and it's not an everyday occurrence that actors can play out such a role and have it be somewhat believable. There were some parts that were a little mediocre and confusing, but I wouldn't say that the entire movie was horrible. Once you think about that, capturing 1800's New Orleans, and making something out of it, it pretty hard, and much harder to get actors who can strongly signify those parts. But the only big problem I had with the movie was that most of the actors who did play the free people of color, were mostly light skinned Africans, not very universal in casting others who weren't light skinned; one of the old Creole stereotypes that still exists. Whomever did the casting could have picked a wider variety when it came to hue, despite many Creoles are color conscious.Rather picking actors that looked near white in a sense, could have been more thought out.The actors did a great job, the script could have better written, and overall I found the performances were very believable.",positive,1,0,negative,0.99338466,0.006615393,0.99338466,False
"Actually, this is a lie, Shrek 3-D was actually the first 3d animated movie. I bought it on DVD about 3 years ago. Didn't Bug's Life also do that? I think it was at Disneyworld in that tree, so I'm saying before they go and use that as there logo. Also, Shrek 3d was a motion simulator at Universal Studios. They should still consider it as a movie, because it appeared in a ""theater"" and you could buy it for DVD. The movie was cute, at least the little flyes were. I liked IQ. I agree with animaster, they did a god job out of making a movie out of something that is just a out-and-back adventure. I recommend it to families and kids.",negative,0,1,positive,0.00689046,0.9931096,0.9931096,False
"Thanks to this fungal film I do NOT want my Maypo, can't stomach the thought of Maltex or Wheatena, and even that granola over there doesn't look so innocent anymore! Why wasn't the song ""Slop Time"", by the Sherrys, used as the theme?",positive,1,0,negative,0.9928924,0.007107632,0.9928924,False
"I came out of ""Rendition"" with a list of flaws a mile long, so how is it that my overall impression is that it was a pretty decent movie? It's definitely a film whose sum is better than its parts.<br /><br />Those parts include a cast of big name stars, not one of them giving a memorable performance (Omar Metwally, a relative unknown, is the one you'll remember); serviceable if undistinguished direction; and a screenplay that's both too complicated and too simplistic at the same time. Metwally is an Egyptian-born American citizen who gets kidnapped by the U.S. government's rendition program, otherwise known as the process by which America tortures suspected terrorists into confessing information whether or not it's remotely true. Reese Witherspoon plays his pregnant wife, who calls in the favor of an old college friend (Peter Saarsgard), who works for a senator (Alan Arkin) and helps to track her husband down. Meryl Streep plays the head of the rendition program; Jake Gyllenhaal is a young agent assigned to the interrogation and whose conscience gets in the way. Meanwhile, a whole parallel storyline follows the daughter of a top Egyptian official who is allied to the American rendition program and her boyfriend, who's in training to become a suicide bomber.<br /><br />Ay-yi-yi that's a lot of plot to pack into a two-hour movie, and I was about to wash my hands of the whole thing, especially the Egyptian Romeo and Juliet subplot that felt like nothing more than a distraction. But then near the film's finale, a twist of chronology brings all of the plot strands together in a way that makes you want to reassess everything you thought you knew about the motivations of the various characters, and makes ""Rendition"" a much more interesting movie than it seems like it's going to be.<br /><br />Witherspoon, Gyllenhaal and Sarsgaard all look like high school students playing adults twenty years older than they actually are -- Gyllenhaal in particular, usually a fine actor, looks so bored that you wonder if he's going to muster the energy to deliver his lines. And the screenwriter should be arrested for having an actress as good as Meryl Streep at his disposal and giving her nothing more to work with than this one-dimensional dragon lady. The movie of course strives for relevancy, but instead of addressing the tangled web of arguments surrounding the national security issue, it charges right down the middle of the debate in a predictable fashion. There are moments when you think maybe the film will veer off in an interesting direction -- what if Witherspoon did actually begin to doubt her husband's past, for instance? What if Metwally actually had been in contact with terrorists, as his interrogators accuse? But no, the movie takes the path of least resistance.<br /><br />But, like I said upfront, I recommend this movie. I know I've done nothing but list a bunch of its faults, but it's got its head in the right place, and it is entertaining, or at least as as entertaining as a movie about torture and interrogation can be.<br /><br />Grade: B+",positive,1,0,negative,0.992837,0.0071629784,0.992837,False
"Like a latter day Ayn Rand, Bigelow is la major muy macho in her depiction in the film of a few tough American hombres stuck in Iraq defusing roadside bombs set by the ruthless, relentless, child-killing Arab terrorists. As Bigelow posits the Iraq war as the backdrop of the grand stage of human drama, one veteran bomb expert gets blown up and another shows up to replace him in the dusty, hot, ugly rubble that is Iraq, and a new hero is born.<br /><br />The new guy is what John Hershey described in his book, and later the movie, The War Lover, as a sadistic wingnut who actually isn't fit for civilian life, and requires the stimulation of war to sublimate and suppress his errant sexual desires. The war lover can only fully function in war, peacetime suffocates him. While Hershey chastised the war lover, (played in the film by Steve McQueen in one of his greatest roles) Bigelow glorifies him. The army needs war lovers, they are the bulwark of defense against our enemies. We can't handle the truth, that it is war lovers who are the best soldiers, the toughest men. According to the unironic Bigelow, regular men are pussies, the war lover is a special breed, the last of the cowboys. So what if he wants to bare-back his men, or fondle an Iraqi boy? He is a throwback to the sex-and-death cult of war. In war, sex is a thankless, loveless, don't-ask, don't-tell kind of male bonding. Bigelow has no opinion on this; she just limits the options of masculinity in this ham-fisted attempt at realism. Only a war-lover can win the moral struggle between right and wrong, between American innocence and Arab perfidy. Bigelow disguises her racism and arrogance behind the ingenuous facade of journalism. She's just another gung-ho yahoo depicting a brutal war against civilians as a moral triumph of the spirit.<br /><br />On the political front, Bigelow returns to the western genre and its relentless clichés again and again, ad nauseam: the wonderful world of the open frontier, which happens to be some one else's country. (""You can shoot people here"" says a soldier ); the tough but human black guy companion, the soldier with a premonition of death, the gruff, possibly crazy commanding officer, the college-educated fool who tries to befriend the enemy. You name it, Bigelow resurrects it.<br /><br />The man-boy love is palpable in scenes with the cute Arab boy who befriends the war lover, but Bigelow plays it straight; she doesn't consummate the sex, just sanitizes it. What Bigelow really wants to show us is the ugly, sneering face of the Arab enemy. Any Iraqi who isn't pure evil is either demented, hostile or up to no good, anyway. They all deserve to die for their impudence, and many of them do in this glib gore-fest film. The Iraqi women are all hysterical, they only make their presence known by screaming. They could be male stunt men in drag for all I know, you never see their faces. There is no female presence at all on base or in battle, although female casualty rates in Iraq would certainly disprove this.<br /><br />Bigelow goes through all the motions one by one. She glorifies war, she canonizes the sadist nut-case hero. The cowboys, surrounded by the subhuman Indians, prove their mettle by doing God's work and subduing the wretched terrorist-infested hellhole with sheer bravado and suicidal mania. Toward the end, I felt like rooting for the Indians. In Bigelow's world, though, no mercy or understanding ever makes it through. The Iraqis are dehumanized par excellence. The slaughter of civilians is just the dramatic backdrop to our hero's psycho sexual struggle. Every U.S, bullet finds its mark. You have to love the guy, the war lover. It's just his way, he is the true hero. He's just a guy trying to get things done the hard way, and so what if he lusts for boy tang on the side.",negative,0,1,positive,0.0072749583,0.992725,0.992725,False
I have no idea why everyone hates this movie to call it garbage a travesty an unexceptable sequel is just unfair i mean what else could they have made for a sequel then. Cause seriously I think it should have had a sequel (Rodney Dangerfield) says: hey everyone were all going to get laid and then a little dancing goffer and thats it thats the end of Caddyshack even though the film rating on first one was (R) and the second one was (PG) it was still lots of fun .<br /><br />(7/10),positive,1,0,negative,0.99268264,0.0073173977,0.99268264,False
"I am very surprised by the positive comments because there were four of us that saw this at one screening and we all walked out. We personally felt that it was painfully slow to watch and couldn't sit through the whole movie. And we really tried to stick with it. In particular, those in the group who really wanted to like it because of their personal experiences with sexual orientation alienation in the school years depicted didn't like or identify with it at all. :(<br /><br />That said, it is great to see that this film really resonated with a lot of people here on the boards and with reviewers. That's the beauty of the subjective art form of film. :)",negative,0,1,positive,0.007331598,0.9926684,0.9926684,False
"I found this a bit hard to follow to the extent that it seemed to dip in the middle while I tried to make head or tail of who was fighting who and why. One of the problems is the cultural/language one. Here we have a Chinese/Taiwanese/Japanese problem of which we know little and because we are simply reading English subtitles inevitably loose some of the subtleties. Another problem is that there seem to be just too many only half explained twists and coincidences. Nevertheless, it seems unlikely that there is a wholly bad Miiki film and this certainly is not that. Plenty of stylish and bone crunching violence, a window upon some less than orthodox sexual goings on plus the family aspect. All in all a decent ride but maybe checking out the storyline might actually be helpful before watching this one.",positive,1,0,negative,0.99261135,0.007388676,0.99261135,False
"This is a short, crudely animated series by David Lynch (as it says in the beginning), and it follows the misadventures of a backwoods, overall-wearing large man, with a wife who has a stress disorder and an annoying son. Both of those elements are harped upon repeatedly in the short episodes, and there's no real plot to be seen. It's easier if you think of this as an exceptionally odd, slightly macabre Looney Tunes- with far more gore, profanity, bloody violence, and occasional moments of hilarity.<br /><br />I bought the DVD along with Eraserhead, having previously seen Eraserhead. Don't look to this series if you want an artistic masterpiece- this is anything but. In fact, it seems to almost be a statement against such things, as its rough style spits in the face of any sort of animation convention you may see. As Lynch says, ""If this is funny, it is only funny because we see the absurdity of it all.""",positive,1,0,negative,0.99256825,0.0074317735,0.99256825,False
"Yowsa! If you REALLY want some ACTION, check out the babes and bombs on this non-stop thriller! Veteran star MARTIN SHEEN leads a trio of supermodels on a mission to stop nuclear terrorism... but director Dean Hamilton doesn't let this heavy plotline get in the way of massive doses of TEENSY-SWIMSUIT scenes, jiggly beach jogs, hubba-hubba hot tubs and the like! Want action? You'll get more of it here than in PEARL HARBOR. Want babes? You'll get an eyeful every two minutes. Want more? Go out and BUY THIS VIDEO! Yowsa, Yowsa, Yowsa! That's some mighty spicy meatballs!!!",positive,1,0,negative,0.9923638,0.0076362165,0.9923638,False
"I remember all the hype around this movie when Aaliyah was killed. Being a fan of Ms. Rice's novels, my first thought was ""how can they do Queen Of The Damned without doing Vampire Lestat first?""<br /><br />Having finally seen the movie, now I can see how they did it. If you have read these books, imagine taking out the gory parts from Vampire Lestat, cramming Marcus and Marius into one character, and removing everything to do with Lestat's beginning (the wolf hunt, his violin playing, the Theatre Of The Vampires, and also Louis, Claudia, and Gabrielle), then in the last 15 minutes cramming in Queen Of The Damned.<br /><br />What we loose is a very important piece of Lestat's character. His inner agony of having to kill to live, the fact that he carefully tries to select killers as his victims, and his love-hate relationship with Louis, Armand, Gabrielle, and all the other vampires.<br /><br />Also important to the story is that we loose the ""Story Of The Twins"", which is the Genesis of Ms. Rice's vampires. And while I am sure the cannibalism was to intense for showing on the screen, they could have done something closer, and showed us more of ancient Egypt.<br /><br />Even worse, we have this love interest thrown in between Jessie and Lestat. The Vampire Chronicles is basically an American Yoni story. For those that do not know, Yoni is another form of Hentai (Japanese Porn Comics). But in Yoni, it is about gay male relationships, told by a female. While I am sure many men object to the ""gayness"" of the characters, in this movie they went to the far extreme the opposite way. For instead of Lestat persueing killers, he goes after young female groupies.<br /><br />And the other flaws in logic and storyline are vast. At the beginning Lestat emerges from a century long sleep, then later on asks Marius how he made it through the 1950's in red velvet. Marius has no idea who Elvis is, and says he slept through that period. Makes you wonder how Lestat knows about 50's fashion and music, since he slept through the same time period himself. And nothing is ever even mentioned about Louis, Claudia, or Gabrielle. I think that is a huge shame. Is like seeing ""Snow White and the 3 Dwarfs"".<br /><br />Overall, the movie I thought was really bad. About the only good thing about it was the soundtrack. Most of the acting was poor, the accents drove me up the wall, and all of the really in-depth parts of the book were removed, leaving us only with a hollow shell, kind of like Enkil after he was sucked dry.<br /><br />If you want to see a good modern vampire movie, get Lost Boys, the original Interview With A Vampire, or even some old episodes of Dark Shadows. Let this one Rest In Piece, with a stake through the heart, cloves of garlic around the neck, and a vial of Holy Water in the mouth.<br /><br />In ending, remember that before Aaliyah was killed, this was intended to go straight to video, no theatrical release was planned. It is obvious now why this was. It is only sad that somebody as talented as she will be remembered for this dog of a movie, instead of something where she really might have shined.<br /><br />I rate this a 2 on a scale of 1-10.",negative,0,1,positive,0.0077705816,0.9922294,0.9922294,False
"""Flashdance"" meets ""Meatballs III"" or maybe it should just be called ""Meatballs IV"". This is my friend Wesley's all-time favorite movie, largely because he still has a thing about J.V. cheerleaders. As someone once said: ""This is fine-more than fine-but as you get older you need to branch out. Whether you want to or not, society demands it"".<br /><br />""Gimme An F"" has cinema's greatest J.V. cheerleader Mary Ann (played by Beth Miller), who looks like a sweet-faced Alicia Silverstone from before her ""Clueless"" days. Wesley hates Miller's other film, the horrific ""Teen Wolf Too"" made three years later, where she plays a fickle southern belle much like Martha Smith's character in ""Animal House"". Personally I admire Miller's range as the two characters could not be more different and she is convincing as both.<br /><br />Anyway, Mary Ann is a naïve novice cheerleader from Moline (a member of ""The Lucky Ducks"" squad) who comes to Camp Beaverview for cheerleading instruction. She's befriended by Jenna (Karen Lee Kelly), the leader of the tough girl squad-appropriately named ""The Demons"". Jenna becomes protective of Mary Ann after her main rival takes an instant dislike to Mary Ann.<br /><br />Later Mary Ann gets a crush on Tommy Hamilton, the head instructor. Tommy is spending his summer wrestling with the dilemma of having to grow up and move on, which is a problem as his only skills are teaching cheerleading and performing elaborate dance routines in the shower, for the enjoyment of viewers who get off on that sort of thing. Phoebe (Daphne Ashbrook) is Tommy's long-suffering girlfriend, she has a well-adjusted attitude and an experienced perspective. She even tolerates Tommy's flirtation with Mary Ann-trusting that Tommy will not actually take advantage of young Mary Ann.<br /><br />While these four characters are solid and their relationships have a nice charm, the supporting cast is almost as weak as the material they have to work with. Which is a shame because had they brought some actual comic relief to the production it would have been a decent film. Jennifer Cooke plays Pam, a social climbing and terminally peppy instructor who is carrying on with camp's money-hungry owner Bucky. And there is another couple with a thing for the characters from ""Mad Max"". Since nothing is very funny you are left with only a cute semi-romance and some great dance routines.<br /><br />An attempt is made to create some suspense by slowly leading up a final competition but unless this is your first movie experience the outcome is never in doubt. And there is a back-story about some Japanese businessmen Bucky wants to get money from, but it goes nowhere dramatically or comically.<br /><br />Then again, what do I know? I'm only a child.",negative,0,1,positive,0.007922628,0.9920773,0.9920773,False
"Set in a middle class neighborhood in the imaginary town of Willard in the 1950s, this dark comedy with a light touch toys with such American obsessions as gun mania and violence, materialism and keeping up with the Joneses, fear of others, slavery, golf, and the disposing of the dead. Yes, it all sounds a bit heavy, but trust me on this, it's nearly as light as a feather.<br /><br />Zombies are featured prominently among the characters. Crucial questions arise, such as: who will become a zombie (90% of the Willard folks choose this final path, while only 10% prefer a traditional funeral)? Who owns how many Zombies to do their bidding like robots (they've become a mark of social status)? And, what is the range of possible relationships that can be worked out between the living and the sort of reincarnated dead? <br /><br />Somehow, director Andrew Currie, who also co-wrote the lively screenplay (with Robert Chomiak and Dennis Heaton), keeps this improbable material percolating along for an hour and a half without once faltering for want of a good laugh. A super cast helps: Carrie-Anne Moss, Billy Connolly, Dylan Baker, Henry Czerny, Tim Blake Nelson, Mary Black and Sonja Bennett are the principals, aided by young K'Sun Ray as Timmy, the innocent kid with a good heart who acts as fair witness to all the lunacy of the grownups. (Having seen her only in ""Memento"" and ""The Matrix,"" I had no idea that Ms. Moss had such fine comedienne chops.) <br /><br />The production design and music are exquisitely 50s, to a tee. Maybe this one isn't for everybody. It surely will be a hard film to beat for my annual Bizarro Award. But intelligent comedies that stay funny from start to finish are among the hardest won achievements in movie-making. For me anyway, ""Fido"" is a hoot! My grades: 8.5/10 (A-) (Seen on 01/30/07)",positive,1,0,negative,0.99196917,0.008030813,0.99196917,False
"Lord Alan Cunningham(Antonio De Teffè)is a nutjob{seen early on trying to escape an insane asylum}, with this castle slowly succumbing to ruin, likes to kill various hookers who resemble his deceased wife Evelyn, a woman who betrayed him for another man, with those red locks. This nutcase is quite wealthy and his bachelor status can be quite alluring. He, however, is overrun by his obsession with his late wife's memory(specifically her adultery..he saw her naked with the lover). While the memory of Evelyn is almost devouring his whole existence, Alan tries his best to find true love and believes he has with Gladys(Marina Malfatti, who spends most of the film naked..that's probably her lone attribute since she isn't a very good actress), who agrees to marry him after a very short courtship which should probably throw up flags right away{there's a key moment of dialogue where she knows exactly to the very amount what he is worth}.<br /><br />The only real person Alan can confide in is his doctor from the hospital, Dr. Richard Timberlane(Giacomo Rossi-Stuart). There are other key characters in this film that revolve around Alan. Alan's cousin, George(Rod Murdock), seems to be quite a good friend who often supplies him victims..I mean dates, while holding onto hope of getting his lord's estate some day. Albert(Roberto Maldera), Evelyn's brother, is a witness to Alan's slaughter and, instead of turning him into the police, squeezes him for cash. Aunt Agatha(Joan C Davis), wheelchair bound, lives at the castle estate and is often seen snooping around behind cracked doors. We later find that she is having a love affair with Albert.<br /><br />All that is described above services the rest of the story which shows what appears to be the ghost of Evelyn haunting Alan, someone is killing off members of the cast family that revolve around Alan, and the body of Evelyn is indeed missing.<br /><br />The ultimate question is who is committing the crimes after Alan and Gladys are married, where is Evelyn's body, and will Alan go over the edge? I have to be honest and say I just didn't really care much for this film. It's badly uneven and the pacing is all over the place. It looks great on the new DVD and the ""rising from the grave sequence"" is cool, but what really hurts the film in my mind is that the entire cast is unlikable. You really have a hard time caring for Alan because he is a psychotic who is skating on thin ice in regards to holding his sanity. He can be quite volatile. Who commits the crime really isn't that great a surprise for after several key characters are murdered off, there aren't but a choice few who could be doing it. What happens to Alan doesn't really make your throat gulp because you can make the argument he's just getting what he deserves. Those behind the whole scheme of the film in regards to Alan, as I pointed out before, aren't that shocking because if you are just slightly aware of certain circumstances(..or advantages they'd have)that would benefit them with the collapse of Alan's sanity, then everything just comes off less than stellar. I thought the editing was choppy and unexciting, but the acting from the entire cast is really below par. Some stylistics help and there is a sniff of Gothic atmosphere in the graveyard sequences to help it some.",negative,0,1,positive,0.008156249,0.99184376,0.99184376,False
"Guy de Maupassant was a novelist who wrote a novel about a man, a poor man, without any moral qualities. He only wanted to success in a society where all the people, the politic men, the businessmen, the journalists, the women are corrupt. The only king is MONEY. The Maupassant hero, Charles Forestier is going higher and higher in the society scale thanks to his seduction poser. He is in love with all the women who could help him in his action to climb the society stapes. At the end of the novel, he married himself with the biggest daily paper owner's daughter, in the greatest church of Paris : ""La Madeleine"". ""Le Tout Paris"" is there. He has a fortune and more, he will become a member of Parliament and later a Minister. The ""useless"" women are out of his view, but he is always keeping in touch with the pretty and the usefull women. The picture ""THE PRIVATE AFFAIRS OF BEL AMI"" is a story of MORALITY. It is everything, but not a story in the Maupassant idea. Why had they put ""BEL AMI"" in its title ?",negative,0,1,positive,0.008172065,0.99182796,0.99182796,False
"Low-budget but memorable would-be shocker that instead emerges as theater of the bizarre. Vulnerable, naive nurse Charlotte Beale comes to a secluded mental hospital and is completely unaware that the only sane people have been murdered, despite the red flags that are constantly being raised all around her. <br /><br />The lack of a decent budget really gives the filmmakers little more to go on than a sense of style, as well as a cast of wacky characters. The pleasures of this film don't come from the film's shocks, which are fairly tame, but from the weird atmosphere. First we have the delusional woman who thinks her baby doll is real. There's also an axe-murdering judge, a shell-shocked war veteran, and old Mrs. Callahan is like everybody's daffy elderly grandmother gone amok. A young patient named Allyson gives the term ""nymphomaniac"" new meaning. A big guy named Sam is just a little slow after a botched lobotomy, and Jennifer vaults suddenly between catatonia and violent outbursts. The only other sentient person in the place seems to be Dr. Masters, but does she have a secret?<br /><br />""Don't Look in the Basement"" is a great example of low-budget exploitation films. There isn't much plot going on, but the cheapness works for the movie. Several cast members turn in memorable performances, particularly Betty Chandler and Annabelle Weenick, and the way the director adds little weird details to the movie can really stick with you.<br /><br />The scene between Allyson and ""the telephone man"" is a classic for all time, and especially delicious are the facial expressions of Dr. Masters when she begins to go over the edge near the finale of the movie. Brownrigg also makes great use of the cheap soundtrack, with several musical cues really evoking the characters that they accompany. My favorite cue is the ""crazy"" cue, a sitar that twangs whenever one of the patients does something pathological.<br /><br />Also wonderful is the way that Charlotte herself plunges into hysteria at the climax, with the patients revealing that Dr. Masters is simply another inmate, and then suggesting that CHARLOTTE is also a patient who is being allowed to act out her delusions (she certainly has a tenuous grip on reality, why else would she not question the ominous lack of phone service or outside contact?). The scene where Charlotte manages to finish off the barely-alive Dr. Stephens with a toy boat has to be one of the greatest moments in low-budget horror. Yes, ""Don't Look in the Basement"" could very well be the ""American Beauty"" of Grade Z trash.",positive,1,0,negative,0.9918121,0.00818791,0.9918121,False
"The barbarians maybe´s not the best film that anybody of us have seen, but really????........It´s so funny......I can´t discribe how mutch I laughed when I first saw it..The director really wanted to do a serious adventure movie, but it´sso misirable bad....so bad that it´s one of the funniest movies I´ve ever seen......so my advise is that you should see it.....and if you alredy did, se it again!!!!!!!",positive,1,0,negative,0.99173236,0.008267596,0.99173236,False
"Overall, a well done movie. There were the parts that made me wince, and there were the parts that I threw my hands up at, but I came away with something more than I gone in with.<br /><br />I think the movie suffers from some serious excess ambition. Without spoiling it, let me say that the obvious references to the trial by fire in Ramayana, is way beyond what this movie stands for. The Ramayana is an epic. Not a 200 page book that puts down women in India. The movie is about two girls married into a very distinctive Indian family. While the basic tenets of the ""unwritten laws of the family tradition"" seem to be that of conservative India, let me assure my reader that I (having lived in Delhi for 12 years) found entire parts that just did not ring those bells. I mean some things and some actions are very true, but some other stuff is just way off the mark. Especially today.<br /><br />Delhi is complicated. India is complicated. The director tries to simplify both. And fails pretty miserably at that.<br /><br />Why in English? Can you imagine a movie about American Indians in English. Or the French speaking in English. Seriously jarring. Even the servant spoke in fluent accented English (albeit with a hint of colloquialisms in the language for ""believability"").<br /><br />But the chemistry between the leads is palpable. If you like it hot, this is a movie for you. I think that is the biggest saving grace - the development of a true real life love story.<br /><br />If this film was about Radha and Sita, then it would have got full marks from me. And in being about them, it could have made a subtle statement. But this movie goes out there to say this is what India is, and this is what Indian society is like. And in that respect it succeeds as much as it fails. Just take everything you see with a pinch of salt. The dark secrets of India are not being revealed. Just two girls are falling in love. Just like it happens everywhere else.",positive,1,0,negative,0.99155444,0.008445628,0.99155444,False
"Critics and audiences both pretty much panned this movie, but I actually didn't think it was too bad! Even the critics I normally agree with thought it was crap, and I normally despise PG-13 ""horror films."" So this means one of two things: either (1) I'm too easily pleased, and my taste in movies has dwindled over the years, or (2) 'When a Stranger Calls' isn't nearly as horrible as it's made out to be. Now, to be fair, some of the criticisms of the movie are true--there's not much character development, and not much happens in the story. But man alive folks, how much were you expecting from a movie about a babysitter being stalked? Cut them some slack! As a former babysitter who was watching this flick late at night with the lights out, I can safely say the stalker dude was one creepy mofo! Who knows? I guess stuff like this just gives me the willies.<br /><br />Yes, I admit I had fun watching this, and I don't care how big of a minority that puts me in. ;)",positive,1,0,negative,0.99155444,0.008445628,0.99155444,False
"I think Andrew Davies did an admirable job of taking a magnificent book which emulated the pace and styling of a Victorian novel and turning it into a moving and entertaining film. I'm glad I read (twice) the book first which is usually the case for me. I know that one must view a novel and a film as different media and judge them accordingly. But, still, it's often hard to read the original material after a film gives away the best parts.<br /><br />I realize that Davies is a very good adapter, but I wish the producers had chosen a woman to write the screenplay. Davies, as he admits in the commentary that accompanies the film on DVD, wanted particularly to emphasis the more scatological bits in the book. I certainly enjoyed those, on film as in the book. But Davies missed a half-dozen moments that are so excruciatingly, painfully tender which he could have incorporated if his sensibility were more feminine. <br /><br />I also would take issue with his use of the book's primary symbol, the rose.<br /><br />As the screenplay was plotted by Davies, the denouement was inevitable and appropriate. But I really think that author Waters' final nod to the rose symbol was much more interesting. And I preferred way the novel let Nan ""come of age"" than the way Davies chose.<br /><br />One quick comment about the four actors who essay the primary roles. They are all wonderfully talented -- well, except for the singing and dancing, perhaps -- and, moreover, their physical presences are so much what the mind's eye sees when reading the novel before seeing the film. I thought they were all terrific.<br /><br />I recommend that any lesbian and anyone who loves good fiction, add BOTH the book and the DVD of TIPPING THE VELVET to their bookshelves.",positive,1,0,negative,0.9913726,0.008627458,0.9913726,False
"Bestselling writer George Plimpton(Alan Alda)takes on an assignment for Sports Illustrated. He is to go incognito to the Detroit Lions training camp and try out for a position as third string Quarterback. He is quickly found out by the team members featuring Alex Karras and Mike Lucci. The entire team finds it amusing to cause stumbling blocks in the writer's determination to Quarterback for a series in a real game.<br /><br />This movie is Alda's debut and also helped Karras leave the gridiron for acting. Besides the 1968 Detroit Lions, the cast also includes ""Sugar Ray"" Robinson, Roy Schieder and Lauren Hutton.<br /><br />Alex March directs this story based on Plimton's book.",negative,0,1,positive,0.008627458,0.9913726,0.9913726,False
